id,SalePrice
1461,119615.32383424765
1462,152121.15915848833
1463,181875.58152479876
1464,195300.42255242777
1465,197045.7165396849
1466,170354.45448732038
1467,177030.52435007395
1468,160540.71019469982
1469,192972.99498778261
1470,119626.77497357244
1471,188237.8846179507
1472,96704.1863389153
1473,95350.19883161613
1474,145948.05951680793
1475,112706.77650010434
1476,360691.5497934226
1477,248722.57210147596
1478,294711.8907403022
1479,297714.08462660096
1480,468715.36220017966
1481,324420.384309471
1482,209775.11542320318
1483,176073.8194206389
1484,161496.05315818766
1485,190058.41574252484
1486,192251.38075227838
1487,338865.14747758675
1488,237758.89148665822
1489,193604.5661253354
1490,229805.27586865515
1491,193081.0674895017
1492,92387.83025401004
1493,187923.34851468966
1494,298067.9837287948
1495,293506.20282225485
1496,234246.50939606488
1497,180325.2024998611
1498,166956.66451600444
1499,161765.99031947087
1500,152341.30713693946
1501,173823.21980771451
1502,144865.99023280997
1503,286579.7916633219
1504,240901.2375280043
1505,224265.81238012857
1506,187402.57570018966
1507,244175.99573577885
1508,203265.563035077
1509,163655.72491254538
1510,142847.5994677157
1511,147238.87256514834
1512,174759.82746524215
1513,151180.43975188013
1514,154927.8149561794
1515,197965.24661921957
1516,157914.73552273214
1517,167733.53556760115
1518,131965.9686693721
1519,206948.26369181718
1520,126855.22860405756
1521,129470.09683381143
1522,177782.98585624827
1523,110211.75147893217
1524,125652.15405680668
1525,119464.83656875113
1526,112938.83889572363
1527,107560.44222538787
1528,137311.96857458903
1529,148788.3054929816
1530,182755.87978951924
1531,104490.66247277654
1532,97755.40171385849
1533,142095.42654707294
1534,126131.70205157397
1535,146237.61014371284
1536,106483.96288675675
1537,64607.82351576472
1538,146983.5356588961
1539,192809.0099242043
1540,93016.05131317055
1541,137813.54303556558
1542,138492.8859744441
1543,188359.2596026096
1544,84555.28881071994
1545,114693.07667422308
1546,134430.0301360587
1547,126662.03568876936
1548,138063.26281201447
1549,119368.45381460426
1550,135222.02758370177
1551,107976.44326915515
1552,134425.26542475255
1553,147004.04196967906
1554,116268.92078337546
1555,158617.52419677112
1556,85298.82789640753
1557,104766.36556808096
1558,96733.92574867347
1559,63508.53914152551
1560,134145.7242190833
1561,129089.6786148783
1562,129385.02060079582
1563,117580.88597769702
1564,154929.02757983544
1565,149912.25732987936
1566,238041.01073297957
1567,76035.9490931197
1568,228853.2385785536
1569,126870.56201988165
1570,137723.59404349205
1571,121836.4773539671
1572,141696.7021852416
1573,235359.50817525946
1574,118093.79359014508
1575,227455.86527322163
1576,240110.69906570276
1577,180612.42884772504
1578,148540.47242644517
1579,143701.3331667228
1580,195593.98153431062
1581,151968.68984453136
1582,125022.61608342247
1583,294360.6225482245
1584,214122.6235990187
1585,135284.84682991187
1586,66146.53014193107
1587,104128.2055269292
1588,149497.5570299814
1589,96339.29023737556
1590,133437.338998241
1591,91745.84886481203
1592,114585.34454705755
1593,127118.78637321458
1594,123897.8890654161
1595,107086.3996320825
1596,219509.85484570355
1597,191867.00231209814
1598,227349.50532589294
1599,171455.8396637622
1600,161805.9177674805
1601,67718.3537382048
1602,116477.67050720665
1603,70769.03092776691
1604,259582.46925707793
1605,242814.23005456667
1606,167498.12463281924
1607,173450.36226553022
1608,212690.70665621464
1609,183803.2094793967
1610,149580.32528189634
1611,137098.8214644152
1612,168916.14876900287
1613,159650.59413535244
1614,126399.74492058669
1615,93124.95907431925
1616,77466.69771829071
1617,94822.02866403751
1618,123959.91796017425
1619,139239.32057731223
1620,151708.565338186
1621,138193.10075872374
1622,140336.41867357778
